Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,10u,C19702
C2,0603,1,22p,C1653
C3,0603,1,100n,C14663
C4,0805,1,10u,C440198
D1,D_SOD-123,1,1N5819W,C8598
D10,0805,1,RxB,C2297
D11,0805,1,RxT,C2296
"D2, D3, D4, D5",D_SOD-123,4,1N4148W,C7420318
D6,D_SOD-123,1,4V7,C19077400
D7,D_SOD-123,1,13V,C22399883
D8,D_SOD-123,1,4V3,C19077399
D9,0805,1,PWR,C84256
L1,Inductor_4.2x4.4mm,1,10uH,C5349663
"Q1, Q2, Q3, Q4",SOT-23,4,MMBT2907A,C7420352
"Q5, Q6",SOT-23,2,MMBT2222A,C8512
R1,0603,1,240k,C4197
R10,0603,1,0R,C21189
R11,0603,1,47,C23182
R12,0603,1,20k,C4184
"R13, R7",0603,2,10k,C25804
R14,0603,1,1k,C21190
R15,0603,1,4k7,C23162
R16,0603,1,1k8,C4177
R17,0603,1,1k1,C22764
R18,0603,1,1k5,C22843
R2,0603,1,13k,C22797
R3,0603,1,330,C23138
R4,0603,1,220,C22962
"R5, R8",0603,2,100,C22775
R6,0603,1,560,C23204
R9,0603,1,33k,C4216
U1,SOT-23-5,1,TPS61040DBV,C7722
"U2, U3",SMDIP-4_W9.53mm,2,LTV-817S,C108319
