Designator,Mid X,Mid Y,Rotation,Layer
C1,28.829,7.48,270.0,top
C2,19.558,3.924,0.0,top
C3,20.32,7.874,270.0,top
C4,18.288,8.115,270.0,top
D1,19.685,11.544,0.0,top
D10,55.753,42.672,90.0,top
D11,58.293,42.672,90.0,top
D2,16.891,37.847,90.0,top
D3,19.431,37.847,90.0,top
D4,19.431,42.927,90.0,top
D5,16.891,42.927,90.0,top
D6,21.971,42.927,90.0,top
D7,24.511,42.926,90.0,top
D8,27.051,42.926,90.0,top
D9,60.833,42.672,90.0,top
L1,25.527,11.544,180.0,top
Q1,24.765,37.211,180.0,top
Q2,19.685,25.908,0.0,top
Q3,19.685,29.591,0.0,top
Q4,25.8595,27.686,180.0,top
Q5,30.6855,27.686,0.0,top
Q6,30.6855,24.003,180.0,top
R1,19.558,5.448,0.0,top
R10,23.622,30.607,180.0,top
R11,26.797,30.607,180.0,top
R12,16.637,28.7528,90.0,top
R13,16.637,25.527,270.0,top
R14,30.5816,21.209,0.0,top
R15,53.213,46.482,270.0,top
R16,60.833,46.482,90.0,top
R17,55.753,46.482,90.0,top
R18,58.293,46.482,90.0,top
R2,22.225,6.2738,90.0,top
R3,21.717,37.211,270.0,top
R4,28.702,38.227,0.0,top
R5,28.702,36.703,180.0,top
R6,50.673,46.482,270.0,top
R7,44.958,35.687,0.0,top
R8,22.86,25.908,270.0,top
R9,17.4752,23.114,180.0,top
U1,25.527,7.099,180.0,top
U2,36.83,43.688,180.0,top
U3,36.83,36.957,0.0,top
